iter	Passed	Remaining
0	0	168
1	1	144
2	2	137
3	2	134
4	3	131
5	4	129
6	4	128
7	5	126
8	5	124
9	6	125
10	7	123
11	7	121
12	8	123
13	9	126
14	10	125
15	10	123
16	11	123
17	12	121
18	12	120
19	13	119
20	13	118
21	14	117
22	15	116
23	15	115
24	16	115
25	16	113
26	17	113
27	18	113
28	19	112
29	19	111
30	20	111
31	21	110
32	21	109
33	22	108
34	22	108
35	23	107
36	24	106
37	24	105
38	25	105
39	26	105
40	26	104
41	27	103
42	28	102
43	28	102
44	29	102
45	30	101
46	31	101
47	31	100
48	32	101
49	33	100
50	34	99
51	34	99
52	35	98
53	36	97
54	36	97
55	37	96
56	37	95
57	38	94
58	39	93
59	39	92
60	40	92
61	41	91
62	41	91
63	42	90
64	43	89
65	43	89
66	44	88
67	45	88
68	45	87
69	46	86
70	47	85
71	47	85
72	48	84
73	49	83
74	49	83
75	50	82
76	51	81
77	51	80
78	52	80
79	52	79
80	53	78
81	54	78
82	54	77
83	55	76
84	56	75
85	56	75
86	57	74
87	58	74
88	58	73
89	59	72
90	60	72
91	60	71
92	61	70
93	62	70
94	62	69
95	63	68
96	64	68
97	64	67
98	65	66
99	66	66
100	66	65
101	67	64
102	68	64
103	68	63
104	69	62
105	70	62
106	70	61
107	71	60
108	72	60
109	72	59
110	73	58
111	74	58
112	74	57
113	75	56
114	75	56
115	76	55
116	77	54
117	77	54
118	78	53
119	79	52
120	79	52
121	80	51
122	81	50
123	81	50
124	82	49
125	83	48
126	83	48
127	84	47
128	85	46
129	85	46
130	86	45
131	87	44
132	87	44
133	88	43
134	89	42
135	89	42
136	90	41
137	91	40
138	91	40
139	92	39
140	93	38
141	93	38
142	94	37
143	95	37
144	95	36
145	96	35
146	97	35
147	97	34
148	98	33
149	99	33
150	99	32
151	100	31
152	101	31
153	102	30
154	102	29
155	103	29
156	104	28
157	104	27
158	105	27
159	106	26
160	107	26
161	108	25
162	109	24
163	109	24
164	110	23
165	110	22
166	111	22
167	112	21
168	112	20
169	113	20
170	114	19
171	114	18
172	115	17
173	116	17
174	116	16
175	117	16
176	118	15
177	118	14
178	119	14
179	120	13
180	120	12
181	121	12
182	122	11
183	122	10
184	123	10
185	124	9
186	125	8
187	125	8
188	126	7
189	126	6
190	127	6
191	128	5
192	128	4
193	129	4
194	130	3
195	130	2
196	131	2
197	132	1
198	132	0
199	133	0
